epoch,train_loss,train_acc,val_loss,val_acc
1,0.5749264261458158,0.6473530637765735,0.5849569479368192,0.6264150943396226
2,0.5135021714447305,0.6473530637765735,0.5215543653580441,0.6264150943396226
3,0.46148508810992955,0.6473530637765735,0.46802333559379933,0.6264150943396226
4,0.416757885372455,0.9791579824927052,0.4221041589920309,0.9905660377358491
5,0.37786487897442467,0.9791579824927052,0.382252463138876,0.9905660377358491
6,0.34375239096815413,0.9887453105460609,0.3473561432044364,0.9943396226415094
7,0.3136279664665341,0.9887453105460609,0.3165825688074997,0.9943396226415094
8,0.2868777406302712,0.9887453105460609,0.2892892928245897,0.9943396226415094
9,0.263014911184026,0.9887453105460609,0.264968606179367,0.9943396226415094
10,0.24168400332697698,0.9887453105460609,0.24251792610406545,0.9943396226415094
11,0.22245585120055242,0.9887453105460609,0.22301425288983368,0.9943396226415094
12,0.20517104028430413,0.9887453105460609,0.20479628346153708,0.9943396226415094
13,0.1894958002652712,0.9887453105460609,0.18897883472116692,0.9943396226415094
14,0.17534658095434666,0.9887453105460609,0.174040741253695,0.9943396226415094
15,0.16245342998442833,0.9887453105460609,0.16110570301442803,0.9943396226415094
16,0.1507790858883828,0.9887453105460609,0.14875753605098385,0.9943396226415094
17,0.14009962858550243,0.9887453105460609,0.13811312205784332,0.9943396226415094
18,0.12951912613193986,0.9887453105460609,0.12762356680787285,0.9943396226415094
19,0.1198920987559471,0.9887453105460609,0.1181050294309802,0.9943396226415094
20,0.11112428214658666,0.9887453105460609,0.10945981340019073,0.9943396226415094
21,0.10313241968715067,0.9887453105460609,0.10160174870564,0.9943396226415094
22,0.09582545033199387,0.9887453105460609,0.09438809392050793,0.9943396226415094
23,0.08915445431601333,0.9945810754481034,0.08778627504016169,0.9962264150943396
24,0.08307553960599601,0.9949979157982493,0.08165324221303917,0.9962264150943396
25,0.07748418723555249,0.9954147561483951,0.07620015670393943,0.9962264150943396
26,0.07237200632044943,0.9954147561483951,0.07119886725766372,0.9962264150943396
27,0.06768376643851154,0.9954147561483951,0.06666014253941668,0.9962264150943396
28,0.06329653926264794,0.9954147561483951,0.06223287892208683,0.9962264150943396
29,0.05936183589656645,0.9954147561483951,0.058424080577427345,0.9962264150943396
30,0.055771507121046185,0.9954147561483951,0.05485909965604028,0.9962264150943396
31,0.05236824810390637,0.9954147561483951,0.05145317801113262,0.9962264150943396
32,0.049327740322695116,0.9954147561483951,0.04855573470891537,0.9962264150943396
33,0.046537039893431664,0.9954147561483951,0.04593052027244202,0.9962264150943396
34,0.043972367568404794,0.9954147561483951,0.04351367166699003,0.9962264150943396
35,0.04153602532084181,0.9954147561483951,0.04109341197162468,0.9962264150943396
36,0.03938049281053705,0.9954147561483951,0.03901753946662991,0.9962264150943396
37,0.037280213081328235,0.9954147561483951,0.03697677811541662,0.9962264150943396
38,0.03534409005335577,0.9954147561483951,0.035110937609262816,0.9962264150943396
39,0.03356504774546803,0.9954147561483951,0.03340800219333497,0.9962264150943396
40,0.03193399992457864,0.9954147561483951,0.031859171256405146,0.9962264150943396
41,0.030423260141278365,0.9954147561483951,0.03044030097296413,0.9962264150943396
42,0.029043369955861535,0.9954147561483951,0.029369111277125087,0.9962264150943396
43,0.027755036128364427,0.9954147561483951,0.028186121073768222,0.9962264150943396
44,0.026562697081915415,0.9954147561483951,0.0271038119769016,0.9962264150943396
45,0.02548128026826928,0.9954147561483951,0.026333339864681275,0.9962264150943396
46,0.02445402487490118,0.9954147561483951,0.025429006115561512,0.9962264150943396
47,0.02352686961830407,0.9954147561483951,0.024545631173158316,0.9962264150943396
48,0.022416761888834843,0.9954147561483951,0.023505472750618733,0.9962264150943396
49,0.02160847887382531,0.9954147561483951,0.023013870947763217,0.9962264150943396
50,0.020678823337122468,0.9945810754481034,0.022144680209626642,0.9962264150943396
51,0.019956772175699185,0.9945810754481034,0.021562472747447242,0.9962264150943396
52,0.019077469113044133,0.9949979157982493,0.0206158302722643,0.9962264150943396
53,0.01832755314424614,0.9949979157982493,0.019353371590975155,0.9962264150943396
54,0.017692007186525912,0.9949979157982493,0.018810029427681906,0.9962264150943396
55,0.01711108199179468,0.9949979157982493,0.018613819055118202,0.9962264150943396
56,0.01655961730514466,0.9949979157982493,0.017745570535494533,0.9962264150943396
57,0.016075171352169147,0.9949979157982493,0.01710412190150165,0.9962264150943396
58,0.015580864336554747,0.9949979157982493,0.01695385317791513,0.9962264150943396
59,0.01503303678223052,0.9949979157982493,0.01640135876345221,0.9962264150943396
60,0.014609016271004666,0.9949979157982493,0.01592616369671155,0.9962264150943396
61,0.014254835004172182,0.9949979157982493,0.01588784067896989,0.9962264150943396
62,0.013924205436683657,0.9949979157982493,0.01545072486621803,0.9962264150943396
63,0.013609571785922684,0.9954147561483951,0.015449062119533842,0.9962264150943396
64,0.013343593089090902,0.9966652771988328,0.014867394446895534,0.9962264150943396
65,0.012927221869933734,0.9966652771988328,0.014699226338623054,0.9962264150943396
66,0.012603631148870913,0.9966652771988328,0.014561997946181354,0.9962264150943396
67,0.012360764384606376,0.9966652771988328,0.014613715146060333,0.9962264150943396
68,0.012084310190410043,0.9966652771988328,0.014513392261179047,0.9962264150943396
69,0.011830010291062261,0.9966652771988328,0.014423259267936648,0.9962264150943396
70,0.01167470700814908,0.9966652771988328,0.013971298407824812,0.9981132075471698
71,0.011452280461573415,0.9966652771988328,0.013899279895680298,0.9981132075471698
72,0.011328372117651423,0.9966652771988328,0.013483142135494652,0.9981132075471698
73,0.011042201995476,0.9966652771988328,0.01356037478067077,0.9981132075471698
74,0.01095005774660077,0.9966652771988328,0.013540751940080042,0.9981132075471698
75,0.010770538945080541,0.9966652771988328,0.013494908972725591,0.9981132075471698
76,0.010606147047392276,0.9970821175489787,0.013454593529953537,0.9981132075471698
77,0.010534277151027234,0.9970821175489787,0.013095045756766125,0.9981132075471698
78,0.010268808715546154,0.9970821175489787,0.013162156650246917,0.9981132075471698
79,0.010217707321110303,0.9970821175489787,0.013177975211816807,0.9981132075471698
80,0.009929609228630043,0.9970821175489787,0.01316355746472437,0.9981132075471698
81,0.009730642275988282,0.9970821175489787,0.01297733155835564,0.9981132075471698
