epoch,train_loss,train_acc,val_loss,val_acc
1,0.5653896716340965,0.6098374322634431,0.5725800451729774,0.6150943396226415
2,0.4624675736879913,0.9741558982909546,0.4724999565277067,0.9830188679245283
3,0.3834891956529015,0.9791579824927052,0.39594273890928816,0.9867924528301887
4,0.32222265782445625,0.9795748228428511,0.3357058682308802,0.9867924528301887
5,0.27250557217338406,0.980408503543143,0.2874241828164733,0.9867924528301887
6,0.23124745057659443,0.988328470195915,0.24749066474928558,0.9886792452830189
7,0.19786796099510182,0.9912463526469362,0.2151522717415455,0.9886792452830189
8,0.17035943555428135,0.9916631929970822,0.18811685782985732,0.9886792452830189
9,0.14652664249791028,0.9916631929970822,0.1654725518385424,0.9886792452830189
10,0.12645801376287188,0.9916631929970822,0.1469643269106243,0.9886792452830189
11,0.10962324075379164,0.992080033347228,0.1305050980698602,0.9886792452830189
12,0.09483874355153937,0.992080033347228,0.11636113665426323,0.9905660377358491
13,0.08249446688704284,0.9924968736973739,0.10460713836447208,0.9905660377358491
14,0.07205526447841293,0.9929137140475198,0.09451867190744827,0.9924528301886792
15,0.06336213013203691,0.9929137140475198,0.08648418962571124,0.9924528301886792
16,0.05571085986171258,0.9937473947478116,0.07905725404193865,0.9924528301886792
17,0.049542775063958884,0.9949979157982493,0.07376089156068343,0.9924528301886792
18,0.04385090002309003,0.9962484368486869,0.06925324621631156,0.9924528301886792
19,0.03892897547399194,0.9966652771988328,0.06523735867567047,0.9924528301886792
20,0.035112965840080335,0.9966652771988328,0.06175057207941856,0.9924528301886792
21,0.03149034210654012,0.9970821175489787,0.05855634672670669,0.9924528301886792
22,0.02845711211048322,0.9974989578991247,0.056412438112027646,0.9924528301886792
23,0.02587052481950869,0.9974989578991247,0.0540283387573975,0.9924528301886792
24,0.02353769653487624,0.9974989578991247,0.05267904917066303,0.9924528301886792
25,0.02162718953875266,0.9974989578991247,0.051346189512003725,0.9924528301886792
26,0.019851914460319343,0.9979157982492706,0.0499924177102003,0.9924528301886792
27,0.018298027832815478,0.9979157982492706,0.04908557795951796,0.9924528301886792
28,0.01696680341547162,0.9979157982492706,0.04832067813233847,0.9924528301886792
29,0.01574238129725645,0.9979157982492706,0.04755049850806073,0.9924528301886792
30,0.014706467294298583,0.9979157982492706,0.0471628767861584,0.9924528301886792
31,0.013809127442184996,0.9979157982492706,0.04685357986874522,0.9924528301886792
32,0.012858198883825502,0.9979157982492706,0.04723099624883721,0.9924528301886792
33,0.012243823609330873,0.9979157982492706,0.046578506110696666,0.9924528301886792
34,0.011525474749244676,0.9979157982492706,0.046512602507553395,0.9924528301886792
35,0.011041748184447567,0.9979157982492706,0.04627749803253033,0.9924528301886792
36,0.010498177727606315,0.9979157982492706,0.04620426012831249,0.9924528301886792
37,0.010079684334973787,0.9979157982492706,0.04610575545110327,0.9924528301886792
38,0.009670048199615098,0.9991663192997082,0.04646122322012014,0.9924528301886792
39,0.009281004300475734,0.9991663192997082,0.04631413443333374,0.9924528301886792
40,0.008953571706626107,0.9991663192997082,0.0462641248488367,0.9924528301886792
41,0.008644379134442487,0.9991663192997082,0.04656280093733547,0.9924528301886792
42,0.008281851841179239,0.9991663192997082,0.046593606054186616,0.9924528301886792
43,0.008025240884486614,0.9991663192997082,0.04664264220041427,0.9924528301886792
44,0.007721747079223558,0.9991663192997082,0.04690065596720302,0.9924528301886792
45,0.0075050668072357005,0.9991663192997082,0.04672818163817362,0.9924528301886792
46,0.007287618236543556,0.9991663192997082,0.04737944151530808,0.9924528301886792
47,0.007178759288066766,0.9991663192997082,0.047622264917516005,0.9924528301886792
48,0.006945752309817559,0.9991663192997082,0.047772237995941484,0.9924528301886792
49,0.0068367670400883715,0.9991663192997082,0.04856081694445393,0.9924528301886792
50,0.006724668341277943,0.9991663192997082,0.04865045695476837,0.9924528301886792
51,0.006583877755968641,0.9991663192997082,0.0488351962220914,0.9924528301886792
52,0.006501953765987873,0.9991663192997082,0.04969377191268341,0.9924528301886792
53,0.00642738190733689,0.9991663192997082,0.05014098672400235,0.9924528301886792
54,0.006348549706745202,0.9991663192997082,0.05052841402078341,0.9924528301886792
55,0.006265545242630157,0.9991663192997082,0.05064349439803354,0.9924528301886792
56,0.006103298296359263,0.9991663192997082,0.051480328671822395,0.9924528301886792
57,0.006117565343045672,0.9991663192997082,0.0518303569727321,0.9924528301886792
58,0.006048167888463962,0.9991663192997082,0.051845303426110316,0.9924528301886792
